y,flux,flux_err,mb_flux
8.718750,0.060414,0.000203,0.000000
8.781250,0.060388,0.000202,0.000000
8.843750,0.059320,0.000201,0.000000
8.906250,0.059625,0.000201,0.000000
8.968750,0.059363,0.000201,0.000000
9.031250,0.058256,0.000199,0.000000
9.093750,0.057997,0.000198,0.000000
9.156250,0.057213,0.000197,0.000000
9.218750,0.057400,0.000198,0.000000
9.281250,0.056867,0.000197,0.000000
9.343750,0.056725,0.000196,0.000000
9.406250,0.055837,0.000194,0.000000
9.468750,0.055748,0.000194,0.000000
9.531250,0.055103,0.000194,0.000000
9.593750,0.054946,0.000193,0.000000
9.656250,0.054663,0.000193,0.000000
9.718750,0.054273,0.000192,0.000000
9.781250,0.053751,0.000191,0.000000
9.843750,0.053729,0.000191,0.000000
9.906250,0.053507,0.000191,0.000000
9.968750,0.053168,0.000190,0.000000
10.031250,0.052559,0.000189,0.000000
10.093750,0.052451,0.000189,0.000000
10.156250,0.052478,0.000189,0.000000
10.218750,0.051608,0.000187,0.000000
10.281250,0.051296,0.000186,0.000000
10.343750,0.051031,0.000186,0.000000
10.406250,0.050600,0.000185,0.000000
10.468750,0.050397,0.000185,0.000000
10.531250,0.050070,0.000184,0.000000
10.593750,0.049774,0.000184,0.000000
10.656250,0.049933,0.000184,0.000000
10.718750,0.049281,0.000182,0.000000
10.781250,0.048903,0.000182,0.000000
10.843750,0.048652,0.000181,0.000000
10.906250,0.048565,0.000181,0.000000
10.968750,0.048075,0.000180,0.000000
11.031250,0.048074,0.000180,0.000000
11.093750,0.047610,0.000179,0.000000
11.156250,0.047381,0.000179,0.000000
11.218750,0.047201,0.000179,0.000000
11.281250,0.046575,0.000177,0.000000
11.343750,0.046916,0.000178,0.000000
11.406250,0.046268,0.000177,0.000000
11.468750,0.046296,0.000177,0.000000
11.531250,0.045896,0.000177,0.000000
11.593750,0.045412,0.000175,0.000000
11.656250,0.045318,0.000175,0.000000
11.718750,0.045483,0.000176,0.000000
11.781250,0.045081,0.000175,0.000000
11.843750,0.044572,0.000174,0.000000
11.906250,0.044488,0.000174,0.000000
11.968750,0.043904,0.000172,0.000000
12.031250,0.043831,0.000172,0.000000
