y,flux,flux_err,mb_flux
8.718750,0.117520,0.001042,0.000000
8.781250,0.116631,0.001039,0.000000
8.843750,0.114826,0.001028,0.000000
8.906250,0.117524,0.001042,0.000000
8.968750,0.115956,0.001036,0.000000
9.031250,0.113756,0.001025,0.000000
9.093750,0.112993,0.001022,0.000000
9.156250,0.113604,0.001022,0.000000
9.218750,0.112301,0.001020,0.000000
9.281250,0.112215,0.001017,0.000000
9.343750,0.109858,0.001007,0.000000
9.406250,0.111091,0.001016,0.000000
9.468750,0.110840,0.001011,0.000000
9.531250,0.109096,0.001004,0.000000
9.593750,0.107956,0.001000,0.000000
9.656250,0.108593,0.001003,0.000000
9.718750,0.108717,0.001001,0.000000
9.781250,0.107092,0.000994,0.000000
9.843750,0.106748,0.000995,0.000000
9.906250,0.106881,0.000995,0.000000
9.968750,0.104861,0.000985,0.000000
10.031250,0.103097,0.000974,0.000000
10.093750,0.102900,0.000973,0.000000
10.156250,0.103225,0.000976,0.000000
10.218750,0.100874,0.000965,0.000000
10.281250,0.103306,0.000976,0.000000
10.343750,0.102558,0.000975,0.000000
10.406250,0.099529,0.000960,0.000000
10.468750,0.100458,0.000963,0.000000
10.531250,0.099069,0.000956,0.000000
10.593750,0.099686,0.000960,0.000000
10.656250,0.098077,0.000952,0.000000
10.718750,0.097448,0.000948,0.000000
10.781250,0.098432,0.000953,0.000000
10.843750,0.098609,0.000953,0.000000
10.906250,0.096293,0.000942,0.000000
10.968750,0.095847,0.000940,0.000000
11.031250,0.096748,0.000946,0.000000
11.093750,0.096467,0.000944,0.000000
11.156250,0.095150,0.000937,0.000000
11.218750,0.093383,0.000927,0.000000
11.281250,0.093780,0.000929,0.000000
11.343750,0.094443,0.000934,0.000000
11.406250,0.094528,0.000936,0.000000
11.468750,0.091652,0.000919,0.000000
11.531250,0.091719,0.000922,0.000000
11.593750,0.091107,0.000918,0.000000
11.656250,0.093484,0.000928,0.000000
11.718750,0.089883,0.000911,0.000000
11.781250,0.090765,0.000914,0.000000
11.843750,0.089310,0.000908,0.000000
11.906250,0.090211,0.000912,0.000000
11.968750,0.087572,0.000898,0.000000
12.031250,0.088252,0.000903,0.000000
12.093750,0.089942,0.000911,0.000000
12.156250,0.088312,0.000903,0.000000
12.218750,0.087470,0.000898,0.000000
12.281250,0.087059,0.000895,0.000000
12.343750,0.086804,0.000895,0.000000
12.406250,0.084843,0.000885,0.000000
12.468750,0.085405,0.000888,0.000000
12.531250,0.085177,0.000887,0.000000
12.593750,0.084427,0.000882,0.000000
12.656250,0.084548,0.000883,0.000000
12.718750,0.084082,0.000881,0.000000
12.781250,0.081918,0.000870,0.000000
12.843750,0.083406,0.000876,0.000000
12.906250,0.082316,0.000870,0.000000
12.968750,0.082474,0.000871,0.000000
13.031250,0.081796,0.000869,0.000000
13.093750,0.082055,0.000870,0.000000
13.156250,0.082102,0.000871,0.000000
13.218750,0.082103,0.000872,0.000000
13.281250,0.081481,0.000868,0.000000
13.343750,0.079097,0.000855,0.000000
13.406250,0.081200,0.000865,0.000000
13.468750,0.080733,0.000865,0.000000
13.531250,0.080019,0.000859,0.000000
13.593750,0.078570,0.000850,0.000000
13.656250,0.078012,0.000848,0.000000
13.718750,0.077830,0.000847,0.000000
13.781250,0.078446,0.000850,0.000000
13.843750,0.077961,0.000847,0.000000
13.906250,0.077824,0.000847,0.000000
13.968750,0.079761,0.000857,0.000000
14.031250,0.078524,0.000850,0.000000
14.093750,0.076506,0.000840,0.000000
14.156250,0.077095,0.000844,0.000000
14.218750,0.075875,0.000838,0.000000
14.281250,0.075454,0.000834,0.000000
14.343750,0.075318,0.000833,0.000000
14.406250,0.073970,0.000825,0.000000
14.468750,0.074292,0.000827,0.000000
14.531250,0.075908,0.000837,0.000000
14.593750,0.073605,0.000824,0.000000
14.656250,0.073698,0.000824,0.000000
14.718750,0.072222,0.000817,0.000000
14.781250,0.073094,0.000821,0.000000
14.843750,0.073160,0.000822,0.000000
14.906250,0.071912,0.000814,0.000000
14.968750,0.070647,0.000806,0.000000
15.031250,0.072557,0.000817,0.000000
15.093750,0.071438,0.000811,0.000000
15.156250,0.070576,0.000806,0.000000
15.218750,0.071026,0.000810,0.000000
15.281250,0.069871,0.000803,0.000000
15.343750,0.070110,0.000804,0.000000
15.406250,0.070717,0.000807,0.000000
15.468750,0.068900,0.000798,0.000000
15.531250,0.069112,0.000798,0.000000
15.593750,0.068351,0.000794,0.000000
15.656250,0.069132,0.000798,0.000000
15.718750,0.069683,0.000801,0.000000
15.781250,0.068711,0.000795,0.000000
15.843750,0.068647,0.000793,0.000000
15.906250,0.068327,0.000793,0.000000
15.968750,0.067951,0.000791,0.000000
16.031250,0.067585,0.000787,0.000000
16.093750,0.067246,0.000788,0.000000
16.156250,0.066815,0.000784,0.000000
16.218750,0.066797,0.000784,0.000000
16.281250,0.066981,0.000786,0.000000
16.343750,0.068644,0.000795,0.000000
16.406250,0.066303,0.000781,0.000000
16.468750,0.066947,0.000785,0.000000
16.531250,0.066323,0.000782,0.000000
16.593750,0.064386,0.000770,0.000000
16.656250,0.065433,0.000777,0.000000
16.718750,0.065067,0.000774,0.000000
16.781250,0.065728,0.000778,0.000000
16.843750,0.064894,0.000773,0.000000
16.906250,0.064527,0.000774,0.000000
16.968750,0.063343,0.000763,0.000000
17.031250,0.063849,0.000765,0.000000
17.093750,0.063372,0.000764,0.000000
17.156250,0.063115,0.000763,0.000000
17.218750,0.062950,0.000761,0.000000
17.281250,0.063988,0.000767,0.000000
17.343750,0.062419,0.000759,0.000000
17.406250,0.061317,0.000752,0.000000
17.468750,0.062824,0.000760,0.000000
17.531250,0.062475,0.000758,0.000000
17.593750,0.062513,0.000758,0.000000
17.656250,0.062026,0.000756,0.000000
17.718750,0.063138,0.000763,0.000000
17.781250,0.061238,0.000751,0.000000
17.843750,0.060779,0.000748,0.000000
17.906250,0.061450,0.000752,0.000000
17.968750,0.060394,0.000745,0.000000
18.031250,0.060789,0.000749,0.000000
18.093750,0.060900,0.000748,0.000000
18.156250,0.060395,0.000746,0.000000
18.218750,0.060387,0.000746,0.000000
18.281250,0.059340,0.000740,0.000000
18.343750,0.060268,0.000744,0.000000
18.406250,0.058818,0.000736,0.000000
18.468750,0.059635,0.000740,0.000000
18.531250,0.057808,0.000730,0.000000
18.593750,0.059847,0.000743,0.000000
18.656250,0.057956,0.000731,0.000000
18.718750,0.057552,0.000729,0.000000
18.781250,0.057736,0.000729,0.000000
18.843750,0.059748,0.000742,0.000000
18.906250,0.058903,0.000736,0.000000
18.968750,0.058775,0.000735,0.000000
19.031250,0.058096,0.000731,0.000000
19.093750,0.056930,0.000724,0.000000
19.156250,0.058804,0.000737,0.000000
19.218750,0.056444,0.000721,0.000000
19.281250,0.055783,0.000718,0.000000
19.343750,0.056702,0.000723,0.000000
19.406250,0.057189,0.000725,0.000000
19.468750,0.055297,0.000714,0.000000
19.531250,0.056372,0.000720,0.000000
19.593750,0.056565,0.000721,0.000000
19.656250,0.055932,0.000717,0.000000
19.718750,0.056180,0.000719,0.000000
19.781250,0.056245,0.000719,0.000000
19.843750,0.054931,0.000711,0.000000
19.906250,0.054996,0.000712,0.000000
19.968750,0.055805,0.000717,0.000000
20.031250,0.054758,0.000711,0.000000
20.093750,0.054391,0.000708,0.000000
20.156250,0.054639,0.000710,0.000000
20.218750,0.053574,0.000702,0.000000
20.281250,0.053712,0.000704,0.000000
20.343750,0.053280,0.000700,0.000000
20.406250,0.054052,0.000706,0.000000
20.468750,0.054457,0.000708,0.000000
20.531250,0.054631,0.000709,0.000000
20.593750,0.053924,0.000703,0.000000
20.656250,0.053410,0.000702,0.000000
20.718750,0.053594,0.000703,0.000000
20.781250,0.053043,0.000699,0.000000
20.843750,0.053255,0.000701,0.000000
20.906250,0.052833,0.000697,0.000000
20.968750,0.052319,0.000695,0.000000
21.031250,0.052824,0.000697,0.000000
